Symbol,Pr_close,Close,Chg,%chg,Final,Final qnty,Val,Cap,High,low,,,,,,,,,,,,,
TCS,"4,038.85","4,200.00",161.15,3.99,"4,200.00","1,17,076","4,917.19","4,12,74,859.47","4,592.25","3,591.50",,,,,,,,,,,,,
INFY,"1,917.30","1,937.00",19.7,1.03,"1,937.00","32,348",626.58,"6,90,75,060.84","2,006.45","1,358.35",,,,,,,,,,,,,
SHRIRAMFIN,"2,809.85",566,4.05,0.72,566,"8,237",46.62,"3,94,86,975.28",730.45,427.14,,,,,,,,,,,,,
NESTLEIND,"2,256.05","2,272.05",16,0.71,"2,272.05","3,355",76.23,"80,79,841.69","2,778.00","2,145.40",,,,,,,,,,,,,
WIPRO,292.3,294.3,2,0.68,294.3,"23,409",68.89,"82,74,238.74",320,208.5,,,,,,,,,,,,,
TECHM,"1,642.80","1,653.10",10.3,0.63,"1,653.10","1,493",24.68,"1,04,48,828.58","1,807.70","1,162.95",,,,,,,,,,,,,
ONGC,263.18,264,0.82,0.31,264,"28,385",74.94,"1,02,38,340.58",345,209.7,,,,,,,,,,,,,
ADANIPORTS,"1,132.35","1,134.90",2.55,0.23,"1,134.90","4,334",49.19,"83,61,455.18","1,621.40",995.65,,,,,,,,,,,,,
EICHERMOT,"5,139.90","5,150.00",10.1,0.2,"5,150.00",378,19.47,"70,81,817.58","5,385.70","3,562.45",,,,,,,,,,,,,
HDFCBANK,"1,667.80","1,671.00",3.2,0.19,"1,671.00","71,236","1,190.35","12,67,46,494.30","1,880.00","1,363.55",,,,,,,,,,,,,
BPCL,280,280.5,0.5,0.18,280.5,"12,516",35.11,"54,32,572.96",376,222.55,,,,,,,,,,,,,
SBILIFE,"1,468.45","1,469.90",1.45,0.1,"1,469.90",685,10.07,"65,76,509.12","1,936.00","1,307.70",,,,,,,,,,,,,
HEROMOTOCO,"4,141.25","4,145.00",3.75,0.09,"4,145.00",396,16.41,"53,69,473.63","6,246.25","4,086.10",,,,,,,,,,,,,
ADANIENT,"2,477.90","2,480.00",2.1,0.08,"2,480.00","1,994",49.45,"61,78,516.48","3,743.90","2,025.00",,,,,,,,,,,,,
HCLTECH,"1,934.80","1,936.00",1.2,0.06,"1,936.00","6,221",120.44,"2,04,46,572.62","2,002.35","1,235.00",,,,,,,,,,,,,
BHARTIARTL,"1,607.05","1,608.00",0.95,0.06,"1,608.00","5,228",84.07,"4,30,69,231.19","1,779.00","1,051.60",,,,,,,,,,,,,
BRITANNIA,"4,926.30","4,928.50",2.2,0.04,"4,928.50",393,19.37,"57,93,078.00","6,469.90","4,641.00",,,,,,,,,,,,,
JSWSTEEL,890.95,890.95,-,-,890.95,"3,748",33.39,"85,53,309.03","1,063.00",761.75,,,,,,,,,,,,,
TATASTEEL,129.93,129.93,-,-,129.93,"72,160",93.76,"1,07,68,022.04",184.6,126.7,,,,,,,,,,,,,
HINDUNILVR,"2,435.40","2,435.40",-,-,"2,435.40","3,311",80.64,"2,16,33,141.63","3,035.00","2,172.05",,,,,,,,,,,,,
BAJFINANCE,"7,277.45","7,277.45",-,-,"7,277.45","1,041",75.76,"2,03,82,815.16","7,824.00","6,187.80",,,,,,,,,,,,,
NTPC,320.35,320.35,-,-,320.35,"16,453",52.71,"1,51,49,184.00",448.45,296.55,,,,,,,,,,,,,
TATAMOTORS,780.1,780.05,-0.05,-0.01,780.05,"20,099",156.78,"1,63,58,320.59","1,179.00",717.7,,,,,,,,,,,,,
SBIN,760.45,760.35,-0.1,-0.01,760.35,"24,752",188.2,"2,92,86,477.64",912,600.65,,,,,,,,,,,,,
APOLLOHOSP,"7,091.55","7,090.00",-1.55,-0.02,"7,090.00",219,15.53,"71,80,583.28","7,545.35","5,693.20",,,,,,,,,,,,,
ITC,450.1,449.95,-0.15,-0.03,449.95,"32,498",146.22,"4,18,26,042.42",528.5,399.35,,,,,,,,,,,,,
BAJAJ-AUTO,"8,835.85","8,832.45",-3.4,-0.04,"8,832.45",596,52.64,"97,80,533.11","12,774.00","6,936.55",,,,,,,,,,,,,
SUNPHARMA,"1,826.35","1,825.45",-0.9,-0.05,"1,825.45","1,858",33.92,"1,97,28,678.28","1,960.35","1,290.00",,,,,,,,,,,,,
RELIANCE,"1,254.75","1,253.85",-0.9,-0.07,"1,253.85","28,429",356.46,"8,52,07,676.23","1,608.80","1,201.50",,,,,,,,,,,,,
COALINDIA,372.2,371.4,-0.8,-0.21,371.4,"11,907",44.22,"84,48,029.51",543.55,364.7,,,,,,,,,,,,,
ICICIBANK,"1,262.40","1,259.00",-3.4,-0.27,"1,259.00","23,940",301.4,"8,90,61,267.15","1,362.35",970.15,,,,,,,,,,,,,
TRENT,"6,621.70","6,601.00",-20.7,-0.31,"6,601.00",933,61.59,"1,46,80,948.04","8,345.00","2,955.00",,,,,,,,,,,,,
CIPLA,"1,488.20","1,483.10",-5.1,-0.34,"1,483.10","1,485",22.02,"81,71,215.95","1,702.05","1,267.90",,,,,,,,,,,,,
KOTAKBANK,"1,790.20","1,784.20",-6,-0.34,"1,784.20","6,093",108.71,"2,62,65,206.61","1,942.00","1,543.85",,,,,,,,,,,,,
HDFCLIFE,612.2,610.05,-2.15,-0.35,610.05,"2,980",18.18,"65,54,275.50",761.2,511.4,,,,,,,,,,,,,
POWERGRID,305.25,304.05,-1.2,-0.39,304.05,"8,991",27.34,"1,38,20,762.29",366.25,226.05,,,,,,,,,,,,,
DRREDDY,"1,371.60","1,366.10",-5.5,-0.4,"1,366.10","1,214",16.58,"83,57,142.13","1,421.49","1,104.13",,,,,,,,,,,,,
GRASIM,"2,410.40","2,400.00",-10.4,-0.43,"2,400.00",615,14.76,"89,58,365.79","2,877.75","2,016.55",,,,,,,,,,,,,
MARUTI,"11,740.55","11,690.00",-50.55,-0.43,"11,690.00",466,54.48,"1,54,43,578.48","13,680.00","9,737.65",,,,,,,,,,,,,
BEL,281.25,280,-1.25,-0.44,280,"29,204",81.77,"1,00,52,746.44",340.5,171.75,,,,,,,,,,,,,
BAJAJFINSV,"1,690.30","1,682.00",-8.3,-0.49,"1,682.00","1,483",24.94,"92,25,246.22","2,029.90","1,419.05",,,,,,,,,,,,,
ULTRACEMCO,"11,259.80","11,203.25",-56.55,-0.5,"11,203.25",326,36.52,"1,28,62,341.31","12,145.35","9,250.00",,,,,,,,,,,,,
TATACONSUM,970.1,965.2,-4.9,-0.51,965.2,"2,810",27.12,"62,78,865.31","1,256.44",882.9,,,,,,,,,,,,,
AXISBANK,"1,061.75","1,056.25",-5.5,-0.52,"1,056.25","16,587",175.2,"3,03,07,297.66","1,339.65",995.7,,,,,,,,,,,,,
M&M,"3,126.50","3,110.00",-16.5,-0.53,"3,110.00","5,082",158.05,"2,76,91,258.25","3,237.05","1,575.00",,,,,,,,,,,,,
HINDALCO,589.25,586,-3.25,-0.55,586,"5,996",35.14,"85,80,047.81",772.65,496.35,,,,,,,,,,,,,
ASIANPAINT,"2,350.20","2,335.60",-14.6,-0.62,"2,335.60","3,107",72.57,"1,06,23,705.47","3,394.90","2,256.50",,,,,,,,,,,,,
TITAN,"3,487.05","3,462.00",-25.05,-0.72,"3,462.00",858,29.7,"1,44,16,473.81","3,886.95","3,055.65",,,,,,,,,,,,,
LT,"3,527.90","3,499.95",-27.95,-0.79,"3,499.95","6,090",213.15,"4,15,61,174.04","3,963.50","3,175.05",,,,,,,,,,,,,
INDUSINDBK,980.9,971.75,-9.15,-0.93,971.75,"22,393",217.6,"64,71,100.84","1,694.50",926.45,,,,,,,,,,,,,
